Month;Actual Sales
jan-1992;12.117
feb-1992;11.597
mrt-1992;12.291
apr-1992;12.461
mei-1992;13.469
jun-1992;13.448
jul-1992;13.896
aug-1992;13.846
sep-1992;13.159
okt-1992;13.681
nov-1992;13.083
dec-1992;13.507
jan-1993;12.545
feb-1993;12.076
mrt-1993;13.181
apr-1993;13.395
mei-1993;14.108
jun-1993;14.017
jul-1993;14.464
aug-1993;14.139
sep-1993;13.393
okt-1993;13.979
nov-1993;13.538
dec-1993;13.752
jan-1994;12.729
feb-1994;12.308
mrt-1994;13.663
apr-1994;13.660
mei-1994;14.367
jun-1994;14.737
jul-1994;15.155
aug-1994;15.616
sep-1994;14.738
okt-1994;14.872
nov-1994;14.551
dec-1994;15.020
jan-1995;13.884
feb-1995;13.224
mrt-1995;14.771
apr-1995;14.645
mei-1995;15.959
jun-1995;16.223
jul-1995;16.073
aug-1995;16.233
sep-1995;15.210
okt-1995;15.173
nov-1995;14.696
dec-1995;15.202
jan-1996;14.492
feb-1996;14.176
mrt-1996;15.634
apr-1996;16.043
mei-1996;17.447
jun-1996;16.975
jul-1996;17.055
aug-1996;17.286
sep-1996;15.987
okt-1996;16.682
nov-1996;16.243
dec-1996;16.580
jan-1997;15.956
feb-1997;14.910
mrt-1997;16.558
apr-1997;16.362
mei-1997;17.315
jun-1997;17.051
jul-1997;17.486
aug-1997;17.747
sep-1997;16.812
okt-1997;17.192
nov-1997;16.045
dec-1997;16.422
jan-1998;15.275
feb-1998;14.093
mrt-1998;15.385
apr-1998;15.710
mei-1998;16.800
jun-1998;16.745
jul-1998;17.304
aug-1998;16.823
sep-1998;15.860
okt-1998;16.409
nov-1998;15.369
dec-1998;16.114
jan-1999;15.107
feb-1999;14.262
mrt-1999;16.290
apr-1999;17.194
mei-1999;17.903
jun-1999;17.923
jul-1999;19.127
aug-1999;19.293
sep-1999;18.583
okt-1999;19.003
nov-1999;18.280
dec-1999;19.718
jan-2000;17.769
feb-2000;18.382
mrt-2000;20.922
apr-2000;19.863
mei-2000;21.306
jun-2000;22.322
jul-2000;22.314
aug-2000;22.153
sep-2000;21.637
okt-2000;21.632
nov-2000;20.764
dec-2000;20.911
jan-2001;19.833
feb-2001;18.776
mrt-2001;20.684
apr-2001;21.617
mei-2001;23.843
jun-2001;23.295
jul-2001;22.161
aug-2001;22.770
sep-2001;21.508
okt-2001;20.560
nov-2001;18.553
dec-2001;17.937
jan-2002;17.582
feb-2002;16.763
mrt-2002;19.889
apr-2002;21.150
mei-2002;22.257
jun-2002;21.677
jul-2002;22.984
aug-2002;23.122
sep-2002;21.360
okt-2002;22.235
nov-2002;20.855
dec-2002;20.895
jan-2003;21.169
feb-2003;20.825
mrt-2003;23.851
apr-2003;22.821
mei-2003;23.295
jun-2003;22.810
jul-2003;24.009
aug-2003;24.989
sep-2003;23.427
okt-2003;23.675
nov-2003;21.975
dec-2003;22.417
jan-2004;22.804
feb-2004;22.584
mrt-2004;25.637
apr-2004;26.244
mei-2004;28.617
jun-2004;28.440
jul-2004;29.323
aug-2004;28.766
sep-2004;27.384
okt-2004;29.578
nov-2004;27.709
dec-2004;27.332
jan-2005;25.592
feb-2005;25.007
mrt-2005;29.406
apr-2005;30.574
mei-2005;31.176
jun-2005;31.887
jul-2005;33.914
aug-2005;36.231
sep-2005;36.287
okt-2005;36.586
nov-2005;31.284
dec-2005;31.288
jan-2006;30.825
feb-2006;29.276
mrt-2006;33.914
apr-2006;36.031
mei-2006;39.045
jun-2006;39.153
jul-2006;40.612
aug-2006;41.079
sep-2006;34.849
okt-2006;33.222
nov-2006;31.569
dec-2006;32.675
jan-2007;30.952
feb-2007;29.785
mrt-2007;35.608
apr-2007;36.700
mei-2007;41.400
jun-2007;40.518
jul-2007;40.723
aug-2007;40.390
sep-2007;37.691
okt-2007;39.419
nov-2007;39.775
dec-2007;39.005
jan-2008;38.668
feb-2008;37.550
mrt-2008;42.161
apr-2008;43.590
mei-2008;48.431
jun-2008;49.989
jul-2008;51.603
aug-2008;48.939
sep-2008;45.041
okt-2008;40.470
nov-2008;29.786
dec-2008;26.241
jan-2009;26.368
feb-2009;25.397
mrt-2009;28.175
apr-2009;29.120
mei-2009;32.592
jun-2009;35.645
jul-2009;36.039
aug-2009;36.702
sep-2009;34.129
okt-2009;34.871
nov-2009;34.232
dec-2009;35.245
jan-2010;34.210
feb-2010;32.020
mrt-2010;37.412
apr-2010;38.553
mei-2010;39.453
jun-2010;38.561
jul-2010;40.016
aug-2010;39.527
sep-2010;37.596
okt-2010;38.954
nov-2010;37.515
dec-2010;39.434
jan-2011;38.216
feb-2011;36.767
mrt-2011;44.427
apr-2011;45.896
mei-2011;48.226
jun-2011;47.474
jul-2011;48.120
aug-2011;48.216
sep-2011;45.322
okt-2011;44.992
nov-2011;42.823
dec-2011;43.080